year,feature,training_median_scaled,year_median_scaled,outside_training_1_99_fraction
2013,channel_41_last,0.0,-0.18395254015922546,0.03965
2013,channel_41_min,0.0,-0.12308067828416824,0.03395
2013,channel_41_max,0.0614745132625103,-0.12283237278461456,0.069
2013,channel_41_std,0.0,0.0,0.0088
2013,channel_42_last,-0.0580093152821064,-0.1160186305642128,0.02105
2013,channel_42_min,-0.058607231825590134,-0.11721446365118027,0.0207
2013,channel_42_max,-0.05846540257334709,-0.11693080514669418,0.0261
2013,channel_42_std,0.0,0.0,0.012
2013,channel_43_last,0.0,-0.07971756160259247,0.1477
2013,channel_43_min,-0.019979046657681465,-0.0997914969921112,0.15
2013,channel_43_max,0.0,-0.07963918894529343,0.1449
2013,channel_43_std,0.0,0.0,0.01175
2013,channel_44_last,0.0,-0.019215676933526993,0.02815
2013,channel_44_min,0.0,-0.0385054275393486,0.0284
2013,channel_44_max,0.0,-0.03843031823635101,0.0263
2013,channel_44_std,0.0,0.0,0.0108
2013,channel_45_last,-0.06127030402421951,-0.18371623754501343,0.0374
2013,channel_45_min,0.0,-0.1843602955341339,0.02205
2013,channel_45_max,0.0,-0.12264152616262436,0.06015
2013,channel_45_std,0.0,0.0,0.01115
2013,channel_46_last,0.0,-0.116193987429142,0.0242
2013,channel_46_min,-0.058594442903995514,-0.17578333616256714,0.01745
2013,channel_46_max,0.0,-0.11730973422527313,0.03205
2013,channel_46_std,0.0,0.0,0.01055
2013,channel_41_difference,0.0,0.0,0.0168
2013,channel_42_difference,0.0,0.0,0.0179
2013,channel_43_difference,0.0,0.0,0.01785
2013,channel_44_difference,0.0,0.0,0.01735
2013,channel_45_difference,0.0,0.0,0.01885
2013,channel_46_difference,0.0,0.0,0.01835
